. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA2_aln1_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #56	15   	-6229.96729	Yes        	4        	0.601    	0.129    	 0.26785   0.21364   0.32799   0.19052	-1.03976   0.21560   0.76189   0.06227  
      	     	          	           	          	           	             	                                      	 0.27032  -1.20029   0.21079   0.71918  
      	     	          	           	          	           	             	                                      	 0.62221   0.13730  -0.82908   0.06957  
      	     	          	           	          	           	             	                                      	 0.08754   0.80643   0.11977  -1.01374  
  #57	15   	-6789.85863	Yes        	4        	0.614    	0.123    	 0.24672   0.22637   0.31231   0.21460	-1.07133   0.19461   0.84464   0.03209  
      	     	          	           	          	           	             	                                      	 0.21211  -1.13460   0.24209   0.68040  
      	     	          	           	          	           	             	                                      	 0.66727   0.17548  -0.92873   0.08599  
      	     	          	           	          	           	             	                                      	 0.03689   0.71769   0.12514  -0.87972  
  #58	15   	-6491.22839	Yes        	4        	0.608    	0.128    	 0.26092   0.21742   0.33086   0.19080	-1.09786   0.17352   0.86678   0.05756  
      	     	          	           	          	           	             	                                      	 0.20823  -1.04256   0.25493   0.57939  
      	     	          	           	          	           	             	                                      	 0.68356   0.16753  -0.94825   0.09716  
      	     	          	           	          	           	             	                                      	 0.07871   0.66023   0.16847  -0.90742  
  #59	15   	-6262.11223	Yes        	4        	0.692    	0.194    	 0.25564   0.23596   0.31644   0.19197	-1.04476   0.24003   0.76869   0.03605  
      	     	          	           	          	           	             	                                      	 0.26004  -1.10209   0.19434   0.64770  
      	     	          	           	          	           	             	                                      	 0.62099   0.14492  -0.87409   0.10819  
      	     	          	           	          	           	             	                                      	 0.04801   0.79611   0.17833  -1.02245  
  #60	15   	-6044.54030	Yes        	4        	0.638    	0.114    	 0.27077   0.23212   0.30040   0.19671	-0.98111   0.21062   0.72825   0.04224  
      	     	          	           	          	           	             	                                      	 0.24569  -1.12665   0.19143   0.68954  
      	     	          	           	          	           	             	                                      	 0.65643   0.14792  -0.90372   0.09937  
      	     	          	           	          	           	             	                                      	 0.05815   0.81368   0.15174  -1.02358  
  #61	15   	-6470.85746	Yes        	4        	0.654    	0.125    	 0.25677   0.21203   0.33311   0.19809	-1.07662   0.21515   0.81850   0.04298  
      	     	          	           	          	           	             	                                      	 0.26055  -1.17244   0.22635   0.68554  
      	     	          	           	          	           	             	                                      	 0.63093   0.14408  -0.86568   0.09068  
      	     	          	           	          	           	             	                                      	 0.05571   0.73379   0.15249  -0.94198  
  #62	15   	-6384.91559	Yes        	4        	0.668    	0.120    	 0.26713   0.21273   0.32318   0.19695	-1.05175   0.21205   0.79783   0.04187  
      	     	          	           	          	           	             	                                      	 0.26628  -1.14501   0.23599   0.64273  
      	     	          	           	          	           	             	                                      	 0.65947   0.15534  -0.91416   0.09935  
      	     	          	           	          	           	             	                                      	 0.05679   0.69422   0.16302  -0.91403  
  #63	15   	-6111.70416	Yes        	4        	0.601    	0.140    	 0.27274   0.20299   0.32103   0.20324	-0.95868   0.17260   0.73074   0.05534  
      	     	          	           	          	           	             	                                      	 0.23191  -1.20136   0.24815   0.72130  
      	     	          	           	          	           	             	                                      	 0.62083   0.15691  -0.90774   0.13000  
      	     	          	           	          	           	             	                                      	 0.07427   0.72044   0.20535  -1.00006  
  #64	15   	-6493.75616	Yes        	4        	0.599    	0.122    	 0.24405   0.23542   0.29564   0.22489	-1.02590   0.20782   0.76194   0.05614  
      	     	          	           	          	           	             	                                      	 0.21545  -1.12564   0.19280   0.71740  
      	     	          	           	          	           	             	                                      	 0.62899   0.15353  -0.90209   0.11957  
      	     	          	           	          	           	             	                                      	 0.06093   0.75097   0.15719  -0.96908  
  #65	15   	-6290.71872	Yes        	4        	0.581    	0.174    	 0.25034   0.23459   0.30483   0.21024	-1.06573   0.19633   0.81801   0.05139  
      	     	          	           	          	           	             	                                      	 0.20951  -1.06523   0.21642   0.63931  
      	     	          	           	          	           	             	                                      	 0.67177   0.16655  -0.94482   0.10650  
      	     	          	           	          	           	             	                                      	 0.06119   0.71336   0.15442  -0.92896  
  #66	15   	-6146.84088	Yes        	4        	0.617    	0.124    	 0.27620   0.21094   0.30441   0.20845	-0.92371   0.23546   0.65854   0.02971  
      	     	          	           	          	           	             	                                      	 0.30831  -1.33343   0.22064   0.80448  
      	     	          	           	          	           	             	                                      	 0.59751   0.15289  -0.84445   0.09405  
      	     	          	           	          	           	             	                                      	 0.03937   0.81412   0.13735  -0.99084  
