. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6A_aln1_NT.trim1_1071.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.06276   0.87328   0.23597  -1.17201  
  #35	10   	-5100.43308	Yes        	4        	2.017    	0.148    	 0.17758   0.25761   0.37620   0.18860	-1.36449   0.32077   0.97080   0.07291  
      	     	          	           	          	           	             	                                      	 0.22113  -1.05590   0.34217   0.49260  
      	     	          	           	          	           	             	                                      	 0.45826   0.23431  -0.80592   0.11335  
      	     	          	           	          	           	             	                                      	 0.06865   0.67284   0.22609  -0.96759  
  #36	10   	-5025.59744	Yes        	4        	1.526    	0.077    	 0.16934   0.26565   0.38032   0.18469	-1.35987   0.27366   0.93160   0.15462  
      	     	          	           	          	           	             	                                      	 0.17445  -1.04446   0.29605   0.57397  
      	     	          	           	          	           	             	                                      	 0.41481   0.20679  -0.72308   0.10149  
      	     	          	           	          	           	             	                                      	 0.14177   0.82556   0.20898  -1.17631  
  #37	10   	-5097.26480	Yes        	4        	0.980    	0.081    	 0.17304   0.26386   0.38400   0.17911	-1.42409   0.36485   0.97065   0.08859  
      	     	          	           	          	           	             	                                      	 0.23927  -1.02737   0.28044   0.50766  
      	     	          	           	          	           	             	                                      	 0.43739   0.19269  -0.74893   0.11884  
      	     	          	           	          	           	             	                                      	 0.08558   0.74788   0.25480  -1.08826  
  #38	10   	-5067.19829	Yes        	4        	0.992    	0.155    	 0.18016   0.27505   0.36824   0.17655	-1.30109   0.32598   0.90883   0.06628  
      	     	          	           	          	           	             	                                      	 0.21351  -1.03271   0.22417   0.59503  
      	     	          	           	          	           	             	                                      	 0.44464   0.16744  -0.72145   0.10937  
      	     	          	           	          	           	             	                                      	 0.06763   0.92703   0.22813  -1.22278  
  #39	10   	-5034.93947	Yes        	4        	1.007    	0.075    	 0.19946   0.24880   0.37655   0.17519	-1.22345   0.27889   0.88210   0.06245  
      	     	          	           	          	           	             	                                      	 0.22359  -1.10994   0.31643   0.56992  
      	     	          	           	          	           	             	                                      	 0.46724   0.20907  -0.77047   0.09415  
      	     	          	           	          	           	             	                                      	 0.07110   0.80937   0.20236  -1.08283  
  #40	10   	-4906.54449	Yes        	4        	0.821    	0.027    	 0.15008   0.27662   0.39238   0.18092	-1.55255   0.35265   1.07692   0.12298  
      	     	          	           	          	           	             	                                      	 0.19134  -1.01337   0.28630   0.53574  
      	     	          	           	          	           	             	                                      	 0.41193   0.20184  -0.71467   0.10091  
      	     	          	           	          	           	             	                                      	 0.10202   0.81912   0.21885  -1.13999  
  #41	10   	-5261.88673	Yes        	4        	1.171    	0.128    	 0.17581   0.27837   0.36412   0.18171	-1.30555   0.32542   0.87109   0.10904  
      	     	          	           	          	           	             	                                      	 0.20552  -1.01206   0.28923   0.51731  
      	     	          	           	          	           	             	                                      	 0.42058   0.22111  -0.76793   0.12623  
      	     	          	           	          	           	             	                                      	 0.10550   0.79249   0.25295  -1.15094  
  #42	10   	-5109.54306	Yes        	4        	1.122    	0.088    	 0.19003   0.26661   0.35045   0.19291	-1.20784   0.29059   0.85869   0.05856  
      	     	          	           	          	           	             	                                      	 0.20712  -1.09525   0.32929   0.55884  
      	     	          	           	          	           	             	                                      	 0.46561   0.25052  -0.81226   0.09613  
      	     	          	           	          	           	             	                                      	 0.05768   0.77236   0.17464  -1.00469  
