. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA8A_aln2_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #25	15   	-10268.76576	Yes        	4        	1.049    	0.000    	 0.24012   0.27760   0.31094   0.17134	-1.08167   0.23695   0.75482   0.08990  
      	     	          	           	          	           	             	                                      	 0.20497  -0.93715   0.24363   0.48855  
      	     	          	           	          	           	             	                                      	 0.58290   0.21750  -0.91944   0.11904  
      	     	          	           	          	           	             	                                      	 0.12600   0.79153   0.21603  -1.13356  
  #26	15   	-10310.17144	Yes        	4        	1.437    	0.066    	 0.26481   0.25565   0.31262   0.16691	-0.95381   0.19119   0.67002   0.09260  
      	     	          	           	          	           	             	                                      	 0.19804  -1.00960   0.23466   0.57689  
      	     	          	           	          	           	             	                                      	 0.56755   0.19190  -0.88721   0.12776  
      	     	          	           	          	           	             	                                      	 0.14691   0.88361   0.23930  -1.26982  
  #27	15   	-10131.28794	Yes        	4        	1.025    	0.010    	 0.26007   0.24625   0.30390   0.18978	-0.93881   0.18573   0.67287   0.08021  
      	     	          	           	          	           	             	                                      	 0.19615  -1.07801   0.24748   0.63438  
      	     	          	           	          	           	             	                                      	 0.57583   0.20054  -0.90366   0.12729  
      	     	          	           	          	           	             	                                      	 0.10992   0.82315   0.20383  -1.13690  
  #28	15   	-9971.94386	Yes        	4        	1.216    	0.088    	 0.24601   0.25152   0.32325   0.17922	-1.06115   0.23542   0.74853   0.07720  
      	     	          	           	          	           	             	                                      	 0.23026  -1.03331   0.25910   0.54395  
      	     	          	           	          	           	             	                                      	 0.56967   0.20161  -0.88563   0.11435  
      	     	          	           	          	           	             	                                      	 0.10597   0.76338   0.20625  -1.07560  
  #29	15   	-10126.26878	Yes        	4        	1.381    	0.057    	 0.24704   0.24637   0.33676   0.16982	-0.99990   0.19526   0.71759   0.08705  
      	     	          	           	          	           	             	                                      	 0.19579  -1.03079   0.26738   0.56762  
      	     	          	           	          	           	             	                                      	 0.52641   0.19561  -0.86236   0.14034  
      	     	          	           	          	           	             	                                      	 0.12663   0.82348   0.27830  -1.22842  
  #30	15   	-10355.27937	Yes        	4        	0.958    	0.000    	 0.26720   0.26690   0.31336   0.15254	-0.93392   0.19429   0.66061   0.07902  
      	     	          	           	          	           	             	                                      	 0.19451  -0.96600   0.22767   0.54382  
      	     	          	           	          	           	             	                                      	 0.56330   0.19391  -0.89937   0.14216  
      	     	          	           	          	           	             	                                      	 0.13842   0.95150   0.29203  -1.38195  
  #31	15   	-10355.41775	Yes        	4        	1.181    	0.071    	 0.27245   0.24644   0.31255   0.16856	-0.96934   0.21754   0.68646   0.06534  
      	     	          	           	          	           	             	                                      	 0.24050  -1.03284   0.24603   0.54631  
      	     	          	           	          	           	             	                                      	 0.59839   0.19399  -0.92241   0.13002  
      	     	          	           	          	           	             	                                      	 0.10562   0.79872   0.24109  -1.14543  
  #32	15   	-10337.67441	Yes        	4        	0.998    	0.000    	 0.26189   0.23170   0.33790   0.16851	-0.98988   0.22824   0.69544   0.06619  
      	     	          	           	          	           	             	                                      	 0.25798  -1.15186   0.27051   0.62337  
      	     	          	           	          	           	             	                                      	 0.53901   0.18549  -0.82409   0.09959  
      	     	          	           	          	           	             	                                      	 0.10287   0.85711   0.19969  -1.15966  
  #33	15   	-10569.42220	Yes        	4        	1.074    	0.000    	 0.26299   0.26027   0.30064   0.17610	-0.99975   0.20375   0.70629   0.08972  
      	     	          	           	          	           	             	                                      	 0.20588  -0.96734   0.23435   0.52712  
      	     	          	           	          	           	             	                                      	 0.61785   0.20288  -0.95007   0.12934  
      	     	          	           	          	           	             	                                      	 0.13399   0.77907   0.22081  -1.13387  
  #34	15   	-10533.28564	Yes        	4        	1.363    	0.065    	 0.24592   0.25924   0.31161   0.18323	-1.01627   0.21322   0.71263   0.09042  
      	     	          	           	          	           	             	                                      	 0.20226  -1.03118   0.23691   0.59201  
      	     	          	           	          	           	             	                                      	 0.56241   0.19709  -0.87244   0.11293  
      	     	          	           	          	           	             	                                      	 0.12135   0.83758   0.19205  -1.15099  
  #35	15   	-10371.55903	Yes        	4        	1.115    	0.036    	 0.25917   0.24053   0.33469   0.16561	-1.03884   0.20322   0.75400   0.08162  
      	     	          	           	          	           	             	                                      	 0.21897  -1.01439   0.24084   0.55459  
      	     	          	           	          	           	             	                                      	 0.58386   0.17308  -0.87479   0.11785  
      	     	          	           	          	           	             	                                      	 0.12773   0.80547   0.23817  -1.17137  
  #36	15   	-9865.06014	Yes        	4        	1.786    	0.136    	 0.25224   0.23047   0.32833   0.18897	-0.99963   0.18692   0.74923   0.06348  
      	     	          	           	          	           	             	                                      	 0.20458  -1.05769   0.24259   0.61053  
      	     	          	           	          	           	             	                                      	 0.57560   0.17028  -0.90195   0.15607  
      	     	          	           	          	           	             	                                      	 0.08474   0.74459   0.27116  -1.10049  
  #37	15   	-10407.72658	Yes        	4        	1.692    	0.131    	 0.24869   0.26572   0.33055   0.15504	-1.08686   0.24472   0.76965   0.07249  
      	     	          	           	          	           	             	                                      	 0.22904  -0.95592   0.24010   0.48678  
      	     	          	           	          	           	             	                                      	 0.57906   0.19301  -0.88268   0.11060  
      	     	          	           	          	           	             	                                      	 0.11627   0.83428   0.23580  -1.18635  
  #38	15   	-10169.68460	Yes        	4        	1.444    	0.115    	 0.26518   0.26765   0.30366   0.16351	-0.91010   0.17271   0.66203   0.07536  
      	     	          	           	          	           	             	                                      	 0.17111  -0.97318   0.26138   0.54068  
      	     	          	           	          	           	             	                                      	 0.57814   0.23039  -0.95339   0.14486  
      	     	          	           	          	           	             	                                      	 0.12222   0.88504   0.26901  -1.27627  
  #39	15   	-10587.65692	Yes        	4        	1.141    	0.035    	 0.26484   0.25116   0.31543   0.16856	-0.94463   0.18688   0.69240   0.06535  
      	     	          	           	          	           	             	                                      	 0.19706  -1.00259   0.25238   0.55315  
      	     	          	           	          	           	             	                                      	 0.58134   0.20096  -0.93290   0.15060  
      	     	          	           	          	           	             	                                      	 0.10267   0.82422   0.28181  -1.20871  
  #40	15   	-10683.85856	Yes        	4        	1.196    	0.034    	 0.24721   0.27323   0.31502   0.16454	-1.05403   0.20603   0.76170   0.08631  
      	     	          	           	          	           	             	                                      	 0.18641  -0.92973   0.25946   0.48386  
      	     	          	           	          	           	             	                                      	 0.59773   0.22504  -0.93811   0.11533  
      	     	          	           	          	           	             	                                      	 0.12967   0.80351   0.22082  -1.15400  
  #41	15   	-10665.44604	Yes        	4        	1.674    	0.084    	 0.25181   0.26232   0.32043   0.16544	-1.02481   0.19855   0.75984   0.06642  
      	     	          	           	          	           	             	                                      	 0.19060  -0.93926   0.23229   0.51637  
      	     	          	           	          	           	             	                                      	 0.59714   0.19017  -0.92946   0.14215  
      	     	          	           	          	           	             	                                      	 0.10109   0.81875   0.27532  -1.19516  
  #42	15   	-9840.70667	Yes        	4        	1.418    	0.134    	 0.27209   0.24908   0.31025   0.16857	-0.92742   0.17728   0.66608   0.08406  
      	     	          	           	          	           	             	                                      	 0.19366  -1.01399   0.23596   0.58437  
      	     	          	           	          	           	             	                                      	 0.58415   0.18943  -0.91323   0.13964  
      	     	          	           	          	           	             	                                      	 0.13569   0.86347   0.25701  -1.25618  
  #43	15   	-10148.19862	Yes        	4        	1.254    	0.019    	 0.25699   0.25653   0.32419   0.16230	-0.96678   0.20336   0.67738   0.08604  
      	     	          	           	          	           	             	                                      	 0.20372  -1.00248   0.24725   0.55151  
      	     	          	           	          	           	             	                                      	 0.53697   0.19565  -0.87650   0.14388  
      	     	          	           	          	           	             	                                      	 0.13624   0.87172   0.28741  -1.29537  
  #44	15   	-10326.98671	Yes        	4        	1.138    	0.053    	 0.24242   0.26852   0.32359   0.16547	-1.03851   0.19392   0.73415   0.11044  
      	     	          	           	          	           	             	                                      	 0.17507  -0.97305   0.22676   0.57121  
      	     	          	           	          	           	             	                                      	 0.55000   0.18817  -0.84316   0.10499  
      	     	          	           	          	           	             	                                      	 0.16180   0.92691   0.20532  -1.29402  
  #45	15   	-10348.65535	Yes        	4        	0.895    	0.000    	 0.26230   0.24122   0.32610   0.17038	-0.99333   0.21352   0.70478   0.07503  
      	     	          	           	          	           	             	                                      	 0.23218  -1.09150   0.27467   0.58465  
      	     	          	           	          	           	             	                                      	 0.56689   0.20318  -0.86871   0.09865  
      	     	          	           	          	           	             	                                      	 0.11551   0.82769   0.18880  -1.13201  
  #46	15   	-10182.02971	Yes        	4        	1.145    	0.054    	 0.26583   0.26110   0.31767   0.15540	-0.93945   0.18333   0.68306   0.07306  
      	     	          	           	          	           	             	                                      	 0.18665  -0.99257   0.27217   0.53374  
      	     	          	           	          	           	             	                                      	 0.57160   0.22371  -0.92072   0.12541  
      	     	          	           	          	           	             	                                      	 0.12498   0.89679   0.25636  -1.27814  
  #47	15   	-10286.03711	Yes        	4        	1.125    	0.045    	 0.25365   0.27787   0.31049   0.15799	-0.99509   0.18950   0.72077   0.08482  
      	     	          	           	          	           	             	                                      	 0.17299  -0.92650   0.22399   0.52952  
      	     	          	           	          	           	             	                                      	 0.58883   0.20046  -0.91237   0.12308  
      	     	          	           	          	           	             	                                      	 0.13618   0.93131   0.24189  -1.30937  
  #48	15   	-10517.59828	Yes        	4        	1.677    	0.139    	 0.26642   0.23434   0.33068   0.16856	-1.00271   0.18248   0.72369   0.09654  
      	     	          	           	          	           	             	                                      	 0.20746  -1.02778   0.26185   0.55847  
      	     	          	           	          	           	             	                                      	 0.58306   0.18557  -0.89147   0.12285  
      	     	          	           	          	           	             	                                      	 0.15259   0.77641   0.24100  -1.17000  
  #49	15   	-10489.95433	Yes        	4        	1.071    	0.000    	 0.26922   0.23859   0.33084   0.16135	-0.94946   0.19567   0.68922   0.06457  
      	     	          	           	          	           	             	                                      	 0.22079  -1.06561   0.29437   0.55044  
      	     	          	           	          	           	             	                                      	 0.56086   0.21229  -0.90258   0.12943  
      	     	          	           	          	           	             	                                      	 0.10774   0.81394   0.26539  -1.18707  
  #50	15   	-10220.46929	Yes        	4        	1.053    	0.000    	 0.25613   0.26181   0.31468   0.16737	-0.99796   0.19963   0.71927   0.07906  
      	     	          	           	          	           	             	                                      	 0.19530  -0.99695   0.25810   0.54356  
      	     	          	           	          	           	             	                                      	 0.58543   0.21473  -0.90983   0.10967  
      	     	          	           	          	           	             	                                      	 0.12098   0.85024   0.20619  -1.17742  
  #51	15   	-10508.21020	Yes        	4        	1.348    	0.040    	 0.23019   0.26081   0.32774   0.18126	-1.11699   0.24862   0.78688   0.08149  
      	     	          	           	          	           	             	                                      	 0.21942  -1.00557   0.25183   0.53431  
      	     	          	           	          	           	             	                                      	 0.55266   0.20040  -0.86855   0.11548  
      	     	          	           	          	           	             	                                      	 0.10349   0.76881   0.20880  -1.08111  
  #52	15   	-10625.81472	Yes        	4        	1.192    	0.057    	 0.25414   0.26175   0.31315   0.17095	-1.00149   0.18977   0.75039   0.06133  
      	     	          	           	          	           	             	                                      	 0.18425  -0.98340   0.25564   0.54351  
      	     	          	           	          	           	             	                                      	 0.60899   0.21368  -0.93858   0.11591  
      	     	          	           	          	           	             	                                      	 0.09118   0.83219   0.21233  -1.13570  
  #53	15   	-10455.62956	Yes        	4        	1.318    	0.055    	 0.26666   0.24760   0.31979   0.16594	-0.96143   0.18717   0.69889   0.07537  
      	     	          	           	          	           	             	                                      	 0.20158  -1.01044   0.26378   0.54508  
      	     	          	           	          	           	             	                                      	 0.58278   0.20424  -0.92255   0.13554  
      	     	          	           	          	           	             	                                      	 0.12113   0.81333   0.26120  -1.19565  
  #54	15   	-10389.21327	Yes        	4        	1.357    	0.082    	 0.23981   0.25788   0.33541   0.16690	-1.09103   0.21613   0.78032   0.09458  
      	     	          	           	          	           	             	                                      	 0.20099  -1.00506   0.25594   0.54812  
      	     	          	           	          	           	             	                                      	 0.55792   0.19678  -0.84714   0.09244  
      	     	          	           	          	           	             	                                      	 0.13590   0.84690   0.18577  -1.16857  
  #55	15   	-10495.81219	Yes        	4        	1.146    	0.056    	 0.25773   0.25753   0.31027   0.17448	-0.94594   0.18924   0.68950   0.06720  
      	     	          	           	          	           	             	                                      	 0.18939  -1.05126   0.27167   0.59021  
      	     	          	           	          	           	             	                                      	 0.57274   0.22549  -0.90861   0.11038  
      	     	          	           	          	           	             	                                      	 0.09927   0.87114   0.19629  -1.16670  
  #56	15   	-10347.43534	Yes        	4        	1.547    	0.087    	 0.27065   0.24117   0.31641   0.17176	-0.98521   0.19054   0.71418   0.08050  
      	     	          	           	          	           	             	                                      	 0.21383  -1.01690   0.26125   0.54182  
      	     	          	           	          	           	             	                                      	 0.61089   0.19913  -0.93539   0.12538  
      	     	          	           	          	           	             	                                      	 0.12684   0.76079   0.23097  -1.11859  
  #57	15   	-10103.33075	Yes        	4        	1.311    	0.097    	 0.25438   0.27036   0.31462   0.16064	-0.98200   0.19177   0.69955   0.09067  
      	     	          	           	          	           	             	                                      	 0.18044  -0.97090   0.26399   0.52646  
      	     	          	           	          	           	             	                                      	 0.56561   0.22686  -0.90845   0.11598  
      	     	          	           	          	           	             	                                      	 0.14358   0.88606   0.22716  -1.25680  
  #58	15   	-10118.36498	Yes        	4        	1.519    	0.079    	 0.26490   0.24441   0.32490   0.16579	-0.96503   0.23800   0.63876   0.08827  
      	     	          	           	          	           	             	                                      	 0.25795  -1.10486   0.28360   0.56331  
      	     	          	           	          	           	             	                                      	 0.52079   0.21334  -0.84915   0.11502  
      	     	          	           	          	           	             	                                      	 0.14104   0.83047   0.22541  -1.19692  
  #59	15   	-10398.79835	Yes        	4        	1.176    	0.042    	 0.26228   0.24821   0.33707   0.15244	-1.01630   0.21590   0.72130   0.07910  
      	     	          	           	          	           	             	                                      	 0.22814  -1.00048   0.23619   0.53615  
      	     	          	           	          	           	             	                                      	 0.56125   0.17392  -0.85902   0.12384  
      	     	          	           	          	           	             	                                      	 0.13609   0.87298   0.27384  -1.28290  
  #60	15   	-9998.56803	Yes        	4        	1.046    	0.035    	 0.26365   0.23143   0.33086   0.17406	-0.99852   0.20188   0.72020   0.07645  
      	     	          	           	          	           	             	                                      	 0.22998  -1.05510   0.21481   0.61030  
      	     	          	           	          	           	             	                                      	 0.57391   0.15026  -0.86254   0.13837  
      	     	          	           	          	           	             	                                      	 0.11579   0.81146   0.26301  -1.19027  
  #61	15   	-10296.63020	Yes        	4        	1.109    	0.041    	 0.26405   0.25635   0.30937   0.17023	-0.97662   0.20408   0.68441   0.08813  
      	     	          	           	          	           	             	                                      	 0.21020  -1.00454   0.23964   0.55470  
      	     	          	           	          	           	             	                                      	 0.58416   0.19858  -0.90715   0.12442  
      	     	          	           	          	           	             	                                      	 0.13671   0.83535   0.22611  -1.19816  
  #62	15   	-10084.43766	Yes        	4        	1.480    	0.128    	 0.25837   0.25827   0.32241   0.16095	-1.01919   0.20777   0.72301   0.08840  
      	     	          	           	          	           	             	                                      	 0.20786  -0.96993   0.22448   0.53760  
      	     	          	           	          	           	             	                                      	 0.57942   0.17983  -0.88283   0.12358  
      	     	          	           	          	           	             	                                      	 0.14191   0.86268   0.24756  -1.25216  
  #63	15   	-10314.01713	Yes        	4        	1.149    	0.003    	 0.25898   0.25817   0.32331   0.15954	-1.01517   0.16587   0.75958   0.08972  
      	     	          	           	          	           	             	                                      	 0.16639  -0.93225   0.26342   0.50244  
      	     	          	           	          	           	             	                                      	 0.60846   0.21035  -0.94056   0.12176  
      	     	          	           	          	           	             	                                      	 0.14565   0.81306   0.24674  -1.20545  
  #64	15   	-10239.06523	Yes        	4        	1.163    	0.016    	 0.25084   0.25298   0.32226   0.17392	-1.02015   0.17645   0.76525   0.07844  
      	     	          	           	          	           	             	                                      	 0.17496  -0.99481   0.25298   0.56687  
      	     	          	           	          	           	             	                                      	 0.59565   0.19859  -0.90813   0.11388  
      	     	          	           	          	           	             	                                      	 0.11314   0.82457   0.21102  -1.14872  
  #65	15   	-10425.03874	Yes        	4        	0.863    	0.000    	 0.24221   0.25371   0.31651   0.18757	-1.11779   0.25266   0.75734   0.10779  
      	     	          	           	          	           	             	                                      	 0.24120  -1.02036   0.23635   0.54282  
      	     	          	           	          	           	             	                                      	 0.57956   0.18946  -0.86879   0.09977  
      	     	          	           	          	           	             	                                      	 0.13919   0.73422   0.16835  -1.04176  
  #66	15   	-10253.13512	Yes        	4        	1.112    	0.000    	 0.24068   0.25018   0.31880   0.19034	-1.11335   0.22438   0.79057   0.09840  
      	     	          	           	          	           	             	                                      	 0.21586  -0.95206   0.20461   0.53159  
      	     	          	           	          	           	             	                                      	 0.59684   0.16057  -0.90754   0.15012  
      	     	          	           	          	           	             	                                      	 0.12442   0.69870   0.25143  -1.07455  
