. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6EF_aln1_NT.trim1024_1527.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #58	12   	-2642.66212	Yes        	4        	1.870    	0.170    	 0.18254   0.27298   0.39087   0.15360	-1.37906   0.23216   1.04035   0.10655  
      	     	          	           	          	           	             	                                      	 0.15524  -0.96752   0.22548   0.58680  
      	     	          	           	          	           	             	                                      	 0.48585   0.15747  -0.71119   0.06787  
      	     	          	           	          	           	             	                                      	 0.12663   1.04285   0.17270  -1.34218  
  #59	12   	-2754.22728	Yes        	4        	1.439    	0.147    	 0.20205   0.28505   0.36987   0.14302	-1.19249   0.22278   0.85299   0.11672  
      	     	          	           	          	           	             	                                      	 0.15791  -0.93619   0.25224   0.52605  
      	     	          	           	          	           	             	                                      	 0.46596   0.19439  -0.76094   0.10059  
      	     	          	           	          	           	             	                                      	 0.16489   1.04844   0.26013  -1.47347  
  #60	12   	-2801.07260	Yes        	4        	0.857    	0.040    	 0.17163   0.25777   0.41187   0.15873	-1.54528   0.29937   1.10545   0.14046  
      	     	          	           	          	           	             	                                      	 0.19932  -1.00202   0.20004   0.60265  
      	     	          	           	          	           	             	                                      	 0.46064   0.12520  -0.65352   0.06768  
      	     	          	           	          	           	             	                                      	 0.15188   0.97868   0.17562  -1.30618  
  #61	12   	-2741.09815	Yes        	4        	1.466    	0.119    	 0.18667   0.27629   0.34524   0.19180	-1.31850   0.16735   1.01219   0.13896  
      	     	          	           	          	           	             	                                      	 0.11307  -0.92857   0.25191   0.56359  
      	     	          	           	          	           	             	                                      	 0.54730   0.20160  -0.83162   0.08272  
      	     	          	           	          	           	             	                                      	 0.13525   0.81186   0.14889  -1.09599  
  #62	12   	-2718.47515	Yes        	4        	0.946    	0.046    	 0.18637   0.29337   0.36134   0.15892	-1.24259   0.17806   0.96306   0.10147  
      	     	          	           	          	           	             	                                      	 0.11312  -0.92017   0.25868   0.54837  
      	     	          	           	          	           	             	                                      	 0.49673   0.21002  -0.79435   0.08760  
      	     	          	           	          	           	             	                                      	 0.11900   1.01229   0.19917  -1.33046  
  #63	12   	-2700.48492	Yes        	4        	1.109    	0.077    	 0.19018   0.27799   0.37060   0.16124	-1.02763   0.20142   0.77981   0.04640  
      	     	          	           	          	           	             	                                      	 0.13780  -1.11592   0.28652   0.69160  
      	     	          	           	          	           	             	                                      	 0.40017   0.21492  -0.70322   0.08813  
      	     	          	           	          	           	             	                                      	 0.05472   1.19239   0.20256  -1.44968  
  #64	12   	-2666.07862	Yes        	4        	2.812    	0.249    	 0.18111   0.25223   0.39795   0.16871	-1.43181   0.22527   1.13192   0.07462  
      	     	          	           	          	           	             	                                      	 0.16175  -0.96364   0.24449   0.55740  
      	     	          	           	          	           	             	                                      	 0.51515   0.15497  -0.76666   0.09654  
      	     	          	           	          	           	             	                                      	 0.08011   0.83337   0.22773  -1.14120  
  #65	12   	-2823.02905	Yes        	4        	1.120    	0.165    	 0.17030   0.31448   0.33647   0.17874	-1.55483   0.32170   1.09515   0.13797  
      	     	          	           	          	           	             	                                      	 0.17421  -0.83477   0.20431   0.45625  
      	     	          	           	          	           	             	                                      	 0.55430   0.19096  -0.82690   0.08164  
      	     	          	           	          	           	             	                                      	 0.13147   0.80276   0.15369  -1.08792  
  #66	12   	-2799.34301	Yes        	4        	2.408    	0.272    	 0.18274   0.26294   0.37738   0.17695	-1.37760   0.26932   1.02025   0.08803  
      	     	          	           	          	           	             	                                      	 0.18717  -1.01019   0.17759   0.64543  
