. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_CCDC8_aln1_NT.addGroupNames.degap_0.3.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #40	16   	-10173.78299	Yes        	4        	1.810    	0.271    	 0.24143   0.26597   0.36398   0.12862	-1.04044   0.21139   0.76177   0.06729  
      	     	          	           	          	           	             	                                      	 0.19189  -1.01415   0.25491   0.56735  
      	     	          	           	          	           	             	                                      	 0.50529   0.18627  -0.77428   0.08272  
      	     	          	           	          	           	             	                                      	 0.12630   1.17319   0.23409  -1.53359  
  #41	16   	-10352.77611	Yes        	4        	2.503    	0.240    	 0.25538   0.26894   0.35243   0.12325	-1.00156   0.28696   0.63029   0.08431  
      	     	          	           	          	           	             	                                      	 0.27249  -1.09823   0.24969   0.57605  
      	     	          	           	          	           	             	                                      	 0.45673   0.19055  -0.71010   0.06283  
      	     	          	           	          	           	             	                                      	 0.17470   1.25703   0.17966  -1.61139  
  #42	16   	-10132.11463	Yes        	4        	2.012    	0.238    	 0.24556   0.26842   0.34843   0.13759	-1.05379   0.22481   0.74348   0.08550  
      	     	          	           	          	           	             	                                      	 0.20567  -1.00784   0.23596   0.56621  
      	     	          	           	          	           	             	                                      	 0.52399   0.18177  -0.78012   0.07436  
      	     	          	           	          	           	             	                                      	 0.15260   1.10460   0.18831  -1.44551  
  #43	16   	-10487.20389	Yes        	4        	2.214    	0.269    	 0.23374   0.26313   0.36083   0.14230	-1.05086   0.23243   0.71535   0.10308  
      	     	          	           	          	           	             	                                      	 0.20647  -1.08658   0.26896   0.61115  
      	     	          	           	          	           	             	                                      	 0.46340   0.19613  -0.72269   0.06316  
      	     	          	           	          	           	             	                                      	 0.16932   1.13004   0.16015  -1.45951  
  #44	16   	-9928.76962	Yes        	4        	2.098    	0.256    	 0.24081   0.27596   0.34828   0.13494	-1.01261   0.20935   0.72652   0.07674  
      	     	          	           	          	           	             	                                      	 0.18268  -1.01997   0.26906   0.56822  
      	     	          	           	          	           	             	                                      	 0.50233   0.21319  -0.78757   0.07205  
      	     	          	           	          	           	             	                                      	 0.13694   1.16203   0.18596  -1.48494  
  #45	16   	-9826.20597	Yes        	4        	1.250    	0.144    	 0.24542   0.25701   0.36566   0.13192	-1.00561   0.18194   0.74081   0.08285  
      	     	          	           	          	           	             	                                      	 0.17374  -1.04869   0.25901   0.61595  
      	     	          	           	          	           	             	                                      	 0.49721   0.18204  -0.75675   0.07750  
      	     	          	           	          	           	             	                                      	 0.15414   1.20002   0.21482  -1.56897  
  #46	16   	-10515.20856	Yes        	4        	1.887    	0.241    	 0.24752   0.27566   0.36312   0.11371	-0.95896   0.22077   0.63728   0.10091  
      	     	          	           	          	           	             	                                      	 0.19824  -1.04914   0.23785   0.61305  
      	     	          	           	          	           	             	                                      	 0.43440   0.18056  -0.69230   0.07733  
      	     	          	           	          	           	             	                                      	 0.21966   1.48625   0.24695  -1.95286  
  #47	16   	-10007.22604	Yes        	4        	1.772    	0.211    	 0.23147   0.27150   0.37118   0.12585	-1.05027   0.23969   0.69825   0.11232  
      	     	          	           	          	           	             	                                      	 0.20436  -1.04692   0.24319   0.59938  
      	     	          	           	          	           	             	                                      	 0.43544   0.17788  -0.68911   0.07580  
      	     	          	           	          	           	             	                                      	 0.20660   1.29308   0.22357  -1.72325  
  #48	16   	-10065.35599	Yes        	4        	1.208    	0.202    	 0.24258   0.26940   0.35301   0.13501	-0.99970   0.21830   0.71452   0.06688  
      	     	          	           	          	           	             	                                      	 0.19657  -1.03734   0.24286   0.59792  
      	     	          	           	          	           	             	                                      	 0.49101   0.18534  -0.76413   0.08778  
      	     	          	           	          	           	             	                                      	 0.12016   1.19305   0.22952  -1.54273  
  #49	16   	-9751.03682	Yes        	4        	2.102    	0.255    	 0.23275   0.27730   0.35887   0.13109	-1.08694   0.18533   0.81003   0.09158  
      	     	          	           	          	           	             	                                      	 0.15556  -0.96260   0.25318   0.55387  
      	     	          	           	          	           	             	                                      	 0.52535   0.19563  -0.78570   0.06472  
      	     	          	           	          	           	             	                                      	 0.16260   1.17162   0.17718  -1.51140  
  #50	16   	-9911.70837	Yes        	4        	1.995    	0.257    	 0.23885   0.25188   0.37585   0.13342	-1.07759   0.23730   0.73967   0.10061  
      	     	          	           	          	           	             	                                      	 0.22503  -1.08726   0.29533   0.56691  
      	     	          	           	          	           	             	                                      	 0.47005   0.19791  -0.73566   0.06770  
      	     	          	           	          	           	             	                                      	 0.18011   1.07020   0.19071  -1.44102  
  #51	16   	-10010.60551	Yes        	4        	1.623    	0.185    	 0.23781   0.30194   0.33869   0.12156	-1.03327   0.21932   0.72442   0.08953  
      	     	          	           	          	           	             	                                      	 0.17274  -0.90502   0.24487   0.48741  
      	     	          	           	          	           	             	                                      	 0.50864   0.21829  -0.82488   0.09795  
      	     	          	           	          	           	             	                                      	 0.17516   1.21068   0.27290  -1.65875  
  #52	16   	-10018.55472	Yes        	4        	1.805    	0.223    	 0.23759   0.27275   0.35019   0.13947	-1.01925   0.24217   0.70964   0.06744  
      	     	          	           	          	           	             	                                      	 0.21095  -1.05426   0.28518   0.55812  
      	     	          	           	          	           	             	                                      	 0.48147   0.22213  -0.78304   0.07944  
      	     	          	           	          	           	             	                                      	 0.11488   1.09151   0.19946  -1.40585  
  #53	16   	-10055.81133	Yes        	4        	2.363    	0.296    	 0.24825   0.26496   0.35644   0.13035	-0.93521   0.22054   0.64472   0.06995  
